Sample,Section,Frequency,Measure,Limit,Marge,Verdict
Sample_1,CHAPITRE I. CONCEPTSTHEORIQUES ,0,0,0,0,PASS
Sample_2,I.1.Technologies de développement web ,0,0,0,0,PASS
Sample_3,Les technologies web désignent l'ensemble des outils et des langages utilisés pour créer des sites web et des applications web. Ces technologies permettent de développer,0,0,0,0,PASS
Sample_4,I.1.1. Langages de programmation Web ,0,0,0,0,PASS
Sample_5,I.1.1.1. Définition ,0,0,0,0,PASS
Sample_6,Un langage de programmation web est un langage utilisé pour créer des applications et des sites web interactifs. Il permet aux développeurs de définir et de contrôler le comportement des éléments sur une page web,0,0,0,0,PASS
Sample_7,de données et de communiquer avec d'autres services web.,0,0,0,0,PASS
Sample_8,I.1.1.2. Langages de programmation couramment utilisés ,0,0,0,0,PASS
Sample_9,HTML (HyperText Markup Language): HTML est le langage de balisage de base utilisé pour créer la structure et le contenu des pages web. Il utilise des balises pour définir différents éléments tels que les titres,0,0,0,0,PASS
Sample_10,Avantages de HTML : ,0,0,0,0,PASS
Sample_11,Facile à apprendre et à utiliser. ,0,0,0,0,PASS
Sample_12,Prise en charge par tous les navigateurs web. ,0,0,0,0,PASS
Sample_13,Structure claire et hiérarchique du contenu.,0,0,0,0,PASS
Sample_14,Inconvénients de HTML : ,0,0,0,0,PASS
Sample_15,Limité en termes de fonctionnalités interactives.,0,0,0,0,PASS
Sample_16,Nécessite l'utilisation d'autres langages comme CSS et JavaScript pour une mise en page et une interactivité avancée. ,0,0,0,0,PASS
Sample_17,CSS (Cascading Style Sheets): CSS est un langage de feuille de style utilisé pour décrire la présentation et l'apparence des pages web écrites en HTML. Il permet de contrôler les couleurs,0,0,0,0,PASS
Sample_18,Avantages de CSS : ,0,0,0,0,PASS
Sample_19,Permet une personnalisation complète de l'apparence des pages web. ,0,0,0,0,PASS
Sample_20,Favorise la séparation des préoccupations (separation of concerns) en séparant la présentation du contenu. ,0,0,0,0,PASS
Sample_21,Permet la création de mises en page réactives et adaptables. ,0,0,0,0,PASS
Sample_22,Inconvénients de CSS : ,0,0,0,0,PASS
Sample_23,Difficulté à gérer la compatibilité entre les navigateurs.,0,0,0,0,PASS
Sample_24,Peut nécessiter une connaissance approfondie pour résoudre des problèmes de mise en page complexes. ,0,0,0,0,PASS
Sample_25,JavaScript : JavaScript est un langage de programmation de script côté client qui permet d'ajouter de l'interactivité et de la dynamique aux pages web. Il peut être utilisé pour manipuler le contenu HTML,0,0,0,0,PASS
Sample_26,Avantages de JavaScript : ,0,0,0,0,PASS
Sample_27,Permet l'interaction avec l'utilisateur et la manipulation du contenu web en temps réel. ,0,0,0,0,PASS
Sample_28,Facilite la création d'applications web réactives et interactives. ,0,0,0,0,PASS
Sample_29,Large écosystème de bibliothèques et de Frameworks disponibles. ,0,0,0,0,PASS
Sample_30,Inconvénients de JavaScript : ,0,0,0,0,PASS
Sample_31,Différences de compatibilité entre les navigateurs.,0,0,0,0,PASS
Sample_32,Risques de sécurité potentiels si mal utilisé.,0,0,0,0,PASS
Sample_33,NB : Actuellement il est possible d’exécuter et d’utiliser JavaScript du côté serveur grâce à NodeJs ,0,0,0,0,PASS
